Question ID,Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Variant 9,Variant 10,# of correct per question,Topic,Difficulty Level
Q79,correct,correct,fail,fail,correct,fail,fail,correct,correct,correct,6,analytic geometry,undergraduate
Q80,correct,fail,correct,correct,correct,correct,fail,correct,correct,correct,8,plane geometry,high school
Q81,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q82,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,undergraduate
Q83,correct,correct,fail,correct,fail,correct,correct,correct,correct,correct,8,plane geometry,high school
Q84,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q85,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q86,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,undergraduate
Q87,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,undergraduate
Q88,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,undergraduate
Q89,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,algebra,undergraduate
Q90,correct,fail,fail,correct,correct,fail,correct,correct,correct,correct,7,algebra,undergraduate
Q91,fail,correct,fail,correct,fail,fail,correct,correct,correct,fail,5,arithmetic,high school
Q92,correct,correct,correct,correct,correct,fail,correct,correct,correct,correct,9,analytic geometry,high school
Q93,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q94,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q95,correct,correct,correct,fail,fail,correct,fail,fail,correct,fail,5,plane geometry,high school
Q96,correct,correct,fail,correct,fail,fail,fail,fail,fail,fail,3,analytic geometry,high school
Q97,correct,correct,fail,fail,correct,correct,fail,correct,correct,correct,7,plane geometry,high school
Q98,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q99,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q100,correct,correct,correct,correct,correct,correct,correct,correct,correct,fail,9,scientific figure,high school
Q101,correct,fail,correct,correct,correct,correct,fail,fail,fail,correct,6,analytic geometry,high school
Q102,fail,correct,correct,fail,fail,fail,fail,correct,fail,fail,3,analytic geometry,high school
Q103,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,undergraduate
Q104,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,arithmetic,elementary school
Q105,correct,fail,correct,correct,fail,correct,correct,fail,correct,correct,7,analytic geometry,high school
Q106,correct,fail,correct,correct,correct,fail,correct,fail,fail,correct,6,analytic geometry,undergraduate
Q107,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q108,fail,fail,fail,correct,fail,fail,fail,fail,fail,fail,1,algebra,high school
Q109,correct,fail,fail,fail,fail,fail,correct,fail,fail,correct,3,analytic geometry,high school
Q110,fail,fail,fail,fail,fail,fail,fail,fail,correct,correct,2,analytic geometry,high school
Q111,fail,fail,fail,correct,fail,fail,correct,fail,fail,correct,3,analytic geometry,high school
Q112,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q113,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q114,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,scientific figure,elementary school
Q115,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,puzzle test,elementary school
Q116,fail,fail,fail,fail,correct,fail,correct,fail,fail,fail,2,plane geometry,high school
Q117,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,undergraduate
Q118,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,undergraduate
Q119,fail,fail,fail,correct,correct,fail,fail,correct,fail,correct,4,analytic geometry,undergraduate
Q120,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,graph theory,undergraduate
Q121,correct,fail,fail,correct,fail,correct,correct,fail,fail,correct,5,algebra,high school
Q122,correct,correct,correct,correct,correct,fail,fail,correct,fail,correct,7,plane geometry,high school
Q123,fail,fail,fail,correct,fail,fail,correct,fail,fail,correct,3,plane geometry,high school
Q124,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,undergraduate
Q125,correct,correct,correct,fail,correct,correct,correct,correct,correct,correct,9,analytic geometry,high school
Q126,correct,fail,fail,fail,fail,fail,correct,fail,fail,fail,2,solid geometry,high school
Q127,correct,correct,correct,fail,correct,fail,correct,correct,fail,correct,7,plane geometry,high school
Q128,fail,fail,fail,fail,fail,fail,correct,fail,fail,fail,1,analytic geometry,high school
Q129,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,solid geometry,high school
Q130,fail,fail,fail,correct,fail,correct,fail,correct,fail,correct,4,solid geometry,high school
Q131,correct,correct,correct,correct,correct,fail,fail,fail,correct,correct,7,analytic geometry,undergraduate
Q132,fail,fail,correct,correct,correct,correct,correct,correct,fail,correct,7,analytic geometry,high school
Q133,fail,correct,fail,fail,fail,correct,fail,correct,fail,fail,3,analytic geometry,high school
Q134,correct,fail,correct,correct,fail,correct,correct,correct,correct,correct,8,analytic geometry,high school
Q135,fail,fail,fail,fail,fail,correct,fail,fail,correct,fail,2,analytic geometry,high school
Q136,fail,correct,fail,correct,fail,fail,fail,fail,fail,fail,2,graph theory,undergraduate
Q137,fail,fail,fail,correct,correct,correct,correct,fail,correct,fail,5,graph theory,undergraduate
Q138,fail,fail,fail,fail,correct,correct,correct,fail,fail,fail,3,analytic geometry,high school
Q139,correct,fail,correct,correct,correct,correct,correct,correct,correct,correct,9,analytic geometry,high school
Q140,correct,correct,correct,correct,correct,correct,correct,fail,correct,correct,9,analytic geometry,high school
Q141,correct,fail,fail,correct,fail,fail,fail,correct,fail,fail,3,solid geometry,high school
Q142,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,graph theory,undergraduate
Q143,correct,fail,correct,fail,correct,correct,correct,fail,correct,correct,7,analytic geometry,undergraduate
Q144,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,undergraduate
Q145,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,solid geometry,high school
Q146,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,puzzle test,high school
Q147,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q148,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q149,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q150,fail,fail,correct,fail,correct,correct,correct,correct,correct,correct,7,analytic geometry,high school
Q151,correct,correct,fail,fail,correct,fail,fail,fail,fail,correct,4,graph theory,undergraduate
Q152,correct,correct,correct,correct,correct,correct,correct,correct,fail,correct,9,graph theory,undergraduate
Q153,correct,fail,fail,fail,fail,fail,fail,fail,correct,fail,2,plane geometry,high school
Q154,fail,fail,fail,correct,correct,correct,correct,fail,correct,correct,6,plane geometry,high school
Q155,correct,fail,fail,fail,correct,fail,fail,correct,fail,fail,3,puzzle test,high school
Q156,correct,correct,correct,correct,correct,fail,correct,correct,correct,correct,9,puzzle test,high school
Q157,correct,correct,fail,fail,fail,fail,correct,fail,correct,fail,4,plane geometry,high school
Q158,fail,correct,fail,correct,fail,fail,correct,fail,fail,fail,3,plane geometry,high school
Q159,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,undergraduate
Q160,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q161,fail,fail,fail,fail,fail,correct,correct,fail,fail,fail,2,statistics,high school
Q162,correct,fail,correct,fail,fail,correct,correct,fail,fail,fail,4,statistics,high school
Q163,correct,correct,correct,fail,fail,fail,correct,correct,correct,fail,6,analytic geometry,high school
Q164,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q165,fail,correct,correct,correct,correct,correct,correct,correct,correct,correct,9,analytic geometry,high school
Q166,correct,correct,fail,correct,correct,correct,fail,correct,correct,correct,8,analytic geometry,high school
Q167,fail,fail,fail,fail,fail,fail,fail,fail,fail,correct,1,plane geometry,high school
Q168,correct,correct,fail,correct,correct,correct,fail,fail,correct,correct,7,analytic geometry,high school
Q169,fail,correct,fail,correct,correct,correct,correct,fail,correct,correct,7,analytic geometry,high school
Q170,fail,fail,fail,fail,correct,fail,correct,correct,correct,correct,5,analytic geometry,high school
Q171,correct,correct,correct,correct,correct,correct,fail,correct,correct,correct,9,plane geometry,high school
Q172,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q173,correct,correct,correct,fail,fail,correct,correct,correct,correct,correct,8,plane geometry,high school
Q174,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q175,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q176,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q177,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q178,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q179,fail,fail,fail,fail,fail,fail,correct,fail,fail,correct,2,puzzle test,high school
Q180,correct,correct,correct,correct,correct,correct,correct,fail,correct,correct,9,puzzle test,high school
Q181,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q182,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q183,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q184,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q185,fail,correct,fail,fail,correct,correct,correct,fail,fail,fail,4,scientific figure,elementary school
Q186,fail,fail,fail,fail,fail,fail,fail,fail,fail,correct,1,scientific figure,elementary school
Q187,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,solid geometry,high school
Q188,correct,fail,correct,correct,fail,correct,fail,correct,correct,correct,7,solid geometry,high school
Q189,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q190,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q191,correct,fail,fail,fail,fail,fail,fail,correct,fail,fail,2,analytic geometry,high school
Q192,fail,correct,fail,fail,fail,correct,fail,correct,fail,fail,3,analytic geometry,high school
Q193,fail,fail,fail,fail,fail,correct,fail,correct,fail,fail,2,analytic geometry,high school
Q194,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q195,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q196,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,puzzle test,high school
Q197,fail,correct,fail,fail,correct,fail,fail,fail,fail,fail,2,plane geometry,high school
Q198,fail,correct,fail,fail,correct,correct,correct,fail,fail,correct,5,analytic geometry,high school
Q199,fail,fail,correct,correct,correct,correct,correct,fail,correct,correct,7,analytic geometry,high school
Q200,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q201,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,arithmetic,undergraduate
Q202,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,undergraduate
Q203,correct,correct,fail,correct,correct,correct,correct,correct,correct,correct,9,analytic geometry,undergraduate
Q204,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q205,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q206,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q207,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q208,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q209,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q210,correct,correct,correct,correct,correct,correct,correct,correct,fail,fail,8,plane geometry,high school
Q211,fail,correct,fail,fail,fail,fail,fail,fail,fail,fail,1,plane geometry,high school
Q212,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q213,fail,correct,fail,fail,correct,correct,fail,correct,fail,fail,4,algebra,undergraduate
Q214,fail,correct,fail,correct,correct,fail,correct,fail,correct,fail,5,plane geometry,high school
Q215,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q216,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q217,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,undergraduate
Q218,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,undergraduate
Q219,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,statistics,undergraduate
Q220,correct,correct,fail,correct,correct,fail,correct,correct,correct,correct,8,graph theory,undergraduate
Q221,fail,fail,correct,fail,fail,fail,fail,fail,fail,fail,1,graph theory,undergraduate
Q222,fail,fail,correct,correct,fail,fail,correct,fail,fail,fail,3,graph theory,undergraduate
Q223,fail,correct,correct,correct,fail,fail,correct,fail,fail,fail,4,graph theory,undergraduate
Q224,fail,fail,fail,fail,fail,correct,fail,fail,fail,fail,1,graph theory,undergraduate
Q225,fail,fail,fail,fail,fail,correct,fail,fail,fail,fail,1,graph theory,undergraduate
Q226,correct,correct,correct,correct,correct,correct,fail,fail,correct,correct,8,graph theory,undergraduate
Q227,fail,fail,fail,fail,fail,fail,correct,fail,fail,fail,1,graph theory,undergraduate
Q228,correct,fail,fail,correct,fail,fail,fail,fail,correct,fail,3,graph theory,undergraduate
Q229,correct,correct,correct,correct,fail,correct,fail,correct,correct,correct,8,graph theory,undergraduate
Q230,correct,correct,correct,correct,fail,correct,fail,fail,correct,correct,7,graph theory,undergraduate
Q231,fail,fail,correct,correct,fail,fail,fail,correct,correct,correct,5,graph theory,undergraduate
Q232,correct,correct,correct,fail,fail,correct,correct,correct,correct,correct,8,graph theory,undergraduate
Q233,fail,correct,fail,fail,fail,fail,correct,correct,fail,fail,3,graph theory,undergraduate
Q234,correct,correct,fail,fail,correct,correct,fail,correct,correct,correct,7,graph theory,undergraduate
Q235,fail,correct,correct,correct,correct,correct,correct,correct,correct,correct,9,graph theory,undergraduate
Q236,correct,fail,correct,correct,fail,fail,correct,fail,correct,correct,6,graph theory,undergraduate
Q237,correct,fail,correct,correct,correct,correct,correct,correct,correct,fail,8,graph theory,undergraduate
Q238,correct,correct,fail,fail,fail,fail,correct,correct,fail,correct,5,graph theory,undergraduate
Q239,fail,fail,correct,correct,correct,correct,correct,fail,fail,fail,5,graph theory,undergraduate
Q240,correct,correct,fail,correct,correct,correct,correct,correct,correct,correct,9,graph theory,undergraduate
Q241,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,graph theory,undergraduate
Q242,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,graph theory,undergraduate
Q243,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,graph theory,undergraduate
Q244,correct,correct,correct,fail,correct,correct,fail,fail,fail,fail,5,graph theory,undergraduate
Q245,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,graph theory,undergraduate
Q246,fail,correct,correct,correct,fail,fail,correct,fail,fail,correct,5,graph theory,undergraduate
Q247,fail,fail,fail,correct,fail,fail,fail,fail,fail,correct,2,graph theory,undergraduate
Q248,correct,fail,fail,fail,fail,fail,fail,fail,fail,fail,1,graph theory,undergraduate
Q249,fail,fail,fail,fail,fail,fail,fail,fail,correct,fail,1,graph theory,undergraduate
Q250,correct,correct,correct,correct,fail,correct,correct,correct,correct,correct,9,graph theory,undergraduate
Q251,correct,correct,fail,correct,fail,fail,correct,correct,correct,fail,6,graph theory,undergraduate
Q252,fail,correct,fail,fail,fail,fail,correct,fail,correct,correct,4,graph theory,undergraduate
Q253,correct,correct,fail,correct,correct,correct,correct,correct,correct,correct,9,graph theory,undergraduate
Q254,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,graph theory,undergraduate
Q255,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,graph theory,undergraduate
Q256,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,graph theory,undergraduate
Q257,correct,correct,correct,fail,fail,fail,fail,fail,correct,fail,4,graph theory,undergraduate
Q258,fail,correct,fail,correct,fail,fail,fail,fail,fail,fail,2,graph theory,undergraduate
Q259,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,graph theory,undergraduate
Q260,correct,fail,fail,fail,fail,correct,correct,correct,fail,fail,4,graph theory,undergraduate
Q261,fail,fail,correct,fail,fail,correct,correct,fail,fail,fail,3,scientific figure,high school
Q262,fail,correct,fail,correct,correct,correct,correct,correct,fail,correct,7,scientific figure,high school
Q263,correct,correct,fail,fail,fail,fail,fail,correct,fail,correct,4,scientific figure,high school
Q264,correct,fail,fail,fail,fail,fail,fail,fail,fail,fail,1,scientific figure,high school
Q265,correct,fail,fail,correct,fail,fail,correct,fail,fail,fail,3,scientific figure,high school
Q266,fail,correct,fail,correct,fail,fail,correct,fail,correct,fail,4,scientific figure,high school
Q267,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,scientific figure,high school
Q268,correct,correct,fail,correct,fail,fail,correct,fail,correct,fail,5,scientific figure,high school
Q269,correct,correct,fail,correct,correct,fail,correct,correct,fail,correct,7,scientific figure,high school
Q270,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,scientific figure,high school
Q271,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,scientific figure,high school
Q272,correct,correct,fail,correct,fail,correct,fail,correct,fail,fail,5,scientific figure,high school
Q273,fail,fail,correct,fail,fail,correct,fail,fail,fail,fail,2,scientific figure,high school
Q274,correct,correct,correct,correct,fail,fail,correct,correct,fail,fail,6,scientific figure,high school
Q275,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,scientific figure,high school
Q276,fail,fail,fail,fail,fail,correct,fail,fail,fail,fail,1,scientific figure,high school
Q277,fail,fail,correct,fail,fail,fail,correct,correct,correct,correct,5,scientific figure,high school
Q278,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,scientific figure,undergraduate
Q279,fail,correct,fail,correct,fail,correct,correct,fail,correct,correct,6,scientific figure,high school
Q280,correct,fail,fail,correct,fail,correct,correct,fail,fail,fail,4,scientific figure,high school
Q281,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q282,correct,fail,correct,correct,correct,correct,correct,correct,correct,correct,9,puzzle test,high school
Q283,correct,correct,correct,correct,correct,correct,fail,correct,correct,correct,9,puzzle test,elementary school
Q284,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,puzzle test,elementary school
Q285,correct,correct,fail,fail,fail,fail,correct,correct,fail,fail,4,puzzle test,elementary school
Q286,correct,correct,correct,correct,fail,correct,correct,correct,correct,correct,9,puzzle test,elementary school
Q287,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,elementary school
Q288,correct,correct,fail,correct,correct,correct,correct,correct,correct,correct,9,statistics,high school
Q289,fail,fail,fail,fail,correct,fail,fail,fail,fail,fail,1,statistics,high school
Q290,fail,fail,correct,correct,fail,correct,fail,fail,correct,correct,5,statistics,high school
Q291,fail,fail,correct,fail,correct,correct,correct,correct,fail,correct,6,statistics,high school
Q292,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,statistics,high school
Q293,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,high school
Q294,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,statistics,undergraduate
Q295,correct,correct,correct,correct,fail,fail,fail,correct,correct,fail,6,statistics,undergraduate
Q296,fail,fail,fail,fail,correct,fail,fail,fail,fail,fail,1,analytic geometry,undergraduate
Q297,fail,fail,fail,fail,fail,fail,fail,fail,correct,fail,1,analytic geometry,undergraduate
Q298,correct,correct,correct,correct,correct,correct,fail,fail,fail,fail,6,analytic geometry,undergraduate
Q299,fail,fail,fail,correct,fail,correct,fail,fail,fail,fail,2,analytic geometry,undergraduate
Q300,fail,fail,fail,correct,correct,fail,fail,fail,fail,fail,2,analytic geometry,undergraduate
